Date,High,Vol.,Low,Price,Chg. %,Open,
29/12/2019,1583.60,7.49K,1540.10,1596.40,2.25%,1543.90,
22/12/2019,1545.00,2.15K,1510.70,1561.20,2.50%,1510.70,
15/12/2019,1510.40,3.20K,1501.70,1523.10,0.01%,1505.40,
08/12/2019,1514.00,1.21K,1489.40,1523.00,1.25%,1493.20,
01/12/2019,1513.50,1.74K,1485.00,1504.20,-0.43%,1494.00,
24/11/2019,1495.40,1.67K,1481.00,1510.70,0.18%,1490.90,
17/11/2019,1509.20,0.00K,1488.80,1508.00,-0.37%,1498.40,
10/11/2019,1504.70,3.30K,1480.00,1513.60,0.21%,1494.00,
03/11/2019,1534.70,0.00K,1534.70,1510.40,-2.83%,1534.70,
27/10/2019,1552.00,0.00K,1552.00,1554.40,0.43%,1552.00,
20/10/2019,1556.70,0.00K,1548.80,1547.70,0.83%,1548.80,
13/10/2019,1530.00,0.83K,1510.00,1535.00,0.34%,1529.00,
06/10/2019,1548.00,2.18K,1508.00,1529.80,-1.42%,1538.90,
29/09/2019,1551.80,1.59K,1499.00,1551.90,0.23%,1533.00,
22/09/2019,1573.00,1.19K,1525.70,1548.30,0.19%,1556.60,
15/09/2019,1553.50,1.46K,1528.80,1545.30,0.95%,1542.60,
08/09/2019,1558.60,1.04K,1524.90,1530.70,-0.82%,1540.10,
01/09/2019,1590.70,0.73K,1539.20,1543.30,-0.89%,1562.80,
25/08/2019,1584.50,1.17K,1555.00,1557.20,-0.40%,1584.50,
18/08/2019,1563.50,1.58K,1530.20,1563.50,0.92%,1543.90,
11/08/2019,1571.70,0.91K,1523.10,1549.20,0.96%,1536.00,
04/08/2019,1547.70,0.46K,1487.40,1534.50,3.31%,1487.40,
28/07/2019,1485.60,0.39K,1443.30,1485.30,1.71%,1469.00,
21/07/2019,1468.00,1.10K,1456.10,1460.40,-0.35%,1458.60,
14/07/2019,1488.50,0.08K,1453.40,1465.50,1.01%,1453.40,
07/07/2019,1467.20,0.20K,1430.60,1450.90,1.00%,1436.90,
