"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2018","17.783","17.315","17.315","17.315","0.15K","1.59%"
"May 27, 2018","17.505","16.880","16.880","16.880","0.17K","-0.73%"
"May 20, 2018","17.633","17.270","17.270","17.230","0.01K","0.44%"
"May 13, 2018","17.556","16.720","16.830","16.720","0.01K","-1.65%"
"May 06, 2018","17.851","16.955","16.975","16.945","0.03K","1.37%"
"Apr 29, 2018","17.609","16.760","16.935","16.760","0.01K","0.10%"
"Apr 22, 2018","17.591","17.430","17.430","16.950","0.01K","-3.86%"
"Apr 15, 2018","18.298","17.705","17.730","17.705","0.00K","2.75%"
"Apr 08, 2018","17.809","17.065","17.065","17.065","0.03K","1.51%"
"Apr 01, 2018","17.544","16.940","17.010","16.880","0.03K","0.40%"
"Mar 25, 2018","17.474","17.150","17.150","17.150","0.04K","-1.88%"
"Mar 18, 2018","17.809","16.730","17.210","16.730","0.06K","1.91%"
"Mar 11, 2018","17.475","17.115","17.115","16.840","0.04K","-1.93%"
"Mar 04, 2018","17.818","17.155","17.230","17.080","0.05K","0.91%"
"Feb 25, 2018","17.657","16.610","16.650","16.090","25.57K","-0.05%"
"Feb 18, 2018","17.666","16.570","16.570","16.550","0.04K","-1.32%"
"Feb 11, 2018","17.902","16.375","16.375","16.345","0.23K","3.32%"
"Feb 04, 2018","17.327","16.705","16.705","16.540","0.24K","-3.33%"
