Date,High,Vol.,Low,Price,Chg. %,Open,
21/09/2021,1785.80,0.64K,1765.70,1781.90,0.81%,1770.20,
20/09/2021,1771.00,1.07K,1748.30,1767.50,0.72%,1753.00,
17/09/2021,1771.40,2.34K,1751.00,1754.90,-0.31%,1757.40,
16/09/2021,1799.00,0.66K,1750.00,1760.40,-2.12%,1799.00,
15/09/2021,1810.50,0.39K,1796.00,1798.50,-0.68%,1806.30,
14/09/2021,1814.20,1.16K,1786.60,1810.80,0.70%,1800.00,
13/09/2021,1803.00,2.69K,1788.60,1798.30,0.13%,1788.60,
10/09/2021,1808.00,0.84K,1795.60,1795.90,-0.44%,1807.00,
09/09/2021,1807.00,1.48K,1789.60,1803.90,0.37%,1794.10,
08/09/2021,1807.30,1.36K,1787.20,1797.30,-0.28%,1802.30,
07/09/2021,1835.00,1.22K,1798.60,1802.30,-1.28%,1835.00,
06/09/2021,1830.65,0,1823.65,1825.65,-0.24%,1829.95,
05/09/2021,1832.50,0,1829.65,1830.05,-0.40%,1832.20,
03/09/2021,1840.40,1.56K,1818.70,1837.40,1.22%,1819.00,
02/09/2021,1822.60,1.88K,1811.10,1815.20,-0.26%,1817.90,
01/09/2021,1826.00,1.09K,1816.00,1819.90,-0.12%,1820.80,
31/08/2021,1823.10,0.40K,1808.00,1822.10,0.32%,1817.00,
30/08/2021,1827.60,0.09K,1815.40,1816.20,-0.41%,1824.80,
27/08/2021,1825.20,0.41K,1793.70,1823.60,1.35%,1800.90,
26/08/2021,1803.00,0.47K,1787.20,1799.30,0.24%,1792.30,
25/08/2021,1807.60,0.11K,1789.00,1795.00,-0.97%,1807.60,
24/08/2021,1813.60,0.72K,1807.00,1812.50,0.12%,1810.00,
23/08/2021,1811.70,0.75K,1783.70,1810.30,1.25%,1783.70,
20/08/2021,1793.90,0.73K,1786.00,1788.00,0.05%,1792.20,
19/08/2021,1797.60,0.69K,1779.00,1787.10,-0.07%,1789.10,
18/08/2021,1798.50,0.71K,1783.90,1788.40,-0.19%,1793.90,
17/08/2021,1800.80,1.70K,1786.80,1791.80,-0.13%,1791.90,
16/08/2021,1794.90,0.34K,1780.00,1794.10,0.66%,1784.90,
13/08/2021,1785.50,0.84K,1761.30,1782.40,1.50%,1761.30,
12/08/2021,1763.70,1.80K,1748.90,1756.10,-0.09%,1756.70,
11/08/2021,1760.00,1.48K,1735.40,1757.70,1.26%,1737.00,
10/08/2021,1742.80,3.34K,1726.20,1735.90,0.29%,1737.10,
09/08/2021,1763.20,3.10K,1682.40,1730.80,-2.06%,1762.80,
06/08/2021,1808.00,2.08K,1764.50,1767.20,-2.52%,1805.20,
05/08/2021,1819.40,0.36K,1804.50,1812.80,-0.30%,1816.30,
04/08/2021,1839.60,1.09K,1813.40,1818.20,0.02%,1821.00,
03/08/2021,1819.40,0.40K,1814.90,1817.90,-0.44%,1817.60,
02/08/2021,1826.80,0.57K,1813.30,1825.90,0.28%,1816.20,
30/07/2021,1836.90,0.91K,1818.00,1820.80,-1.01%,1835.70,
29/07/2021,1840.70,0.73K,1820.00,1839.40,1.73%,1820.00,
28/07/2021,1813.90,2.46K,1803.70,1808.10,0.04%,1813.80,
27/07/2021,1811.90,0.92K,1803.10,1807.30,0.02%,1806.40,
26/07/2021,1818.90,0.09K,1805.20,1806.90,-0.13%,1818.90,
23/07/2021,1810.20,0.31K,1799.90,1809.30,-0.20%,1810.00,
22/07/2021,1813.80,0.07K,1800.70,1812.90,0.10%,1806.20,
21/07/2021,1812.70,0.21K,1802.60,1811.00,-0.43%,1811.90,
20/07/2021,1831.00,0.23K,1817.00,1818.90,0.11%,1824.80,
19/07/2021,1823.30,0.08K,1807.10,1816.90,-0.33%,1821.50,
16/07/2021,1835.70,0.27K,1822.50,1823.00,-0.76%,1835.70,
15/07/2021,1841.10,0.10K,1833.10,1836.90,0.21%,1833.10,
14/07/2021,1836.80,1.63K,1828.80,1833.00,0.83%,1830.00,
13/07/2021,1825.10,1.20K,1814.00,1817.90,0.23%,1822.50,
12/07/2021,1817.30,0.98K,1802.00,1813.80,-0.26%,1817.30,
09/07/2021,1818.90,1.33K,1805.80,1818.60,0.59%,1805.80,
08/07/2021,1825.00,1.14K,1802.50,1807.90,-0.09%,1825.00,
07/07/2021,1812.80,0.36K,1809.80,1809.60,0.43%,1811.00,
06/07/2021,1821.50,0.43K,1794.10,1801.80,0.59%,1795.20,
05/07/2021,1794.65,0,1784.75,1791.30,0.27%,1786.50,
04/07/2021,1788.00,0,1785.80,1786.40,-0.26%,1788.00,
02/07/2021,1800.00,0.68K,1789.60,1791.00,0.38%,1790.30,
01/07/2021,1785.20,0.51K,1782.60,1784.30,0.28%,1785.20,
30/06/2021,1771.20,0.19K,1764.00,1779.30,0.47%,1764.00,
29/06/2021,1778.00,0.38K,1758.80,1771.00,-0.97%,1778.00,
28/06/2021,1783.30,0.02K,1783.30,1788.30,0.16%,1783.30,
25/06/2021,1793.00,0.22K,1788.10,1785.50,0.06%,1793.00,
24/06/2021,1792.80,0.00K,1782.50,1784.40,-0.37%,1792.80,
23/06/2021,1800.00,0.01K,1790.90,1791.10,0.34%,1790.90,
22/06/2021,1792.80,0.04K,1785.00,1785.00,-0.31%,1792.80,
21/06/2021,1791.50,0.24K,1777.80,1790.50,0.79%,1777.80,
18/06/2021,1800.40,0.25K,1781.00,1776.50,-0.31%,1786.70,
17/06/2021,1830.90,0.42K,1779.10,1782.00,-4.64%,1830.90,
16/06/2021,1871.20,0.30K,1816.40,1868.70,0.27%,1863.20,
15/06/2021,1875.20,0.06K,1861.50,1863.70,-0.51%,1875.20,
14/06/2021,1875.20,0.10K,1858.60,1873.20,-0.73%,1875.00,
11/06/2021,1898.80,0.03K,1885.70,1886.90,-0.89%,1898.80,
10/06/2021,1896.70,0.04K,1885.50,1903.80,0.05%,1896.70,
09/06/2021,1901.70,0.02K,1901.00,1902.90,0.06%,1901.00,
08/06/2021,1911.70,0.03K,1900.70,1901.80,-0.23%,1905.70,
07/06/2021,1895.30,0.12K,1895.30,1906.10,0.36%,1895.30,
04/06/2021,1896.50,0.12K,1879.30,1899.20,0.99%,1879.90,
03/06/2021,1913.70,0.33K,1875.80,1880.50,-1.91%,1913.50,
02/06/2021,1916.10,0.28K,1903.80,1917.20,0.25%,1904.30,
01/06/2021,1919.30,0.21K,1909.40,1912.50,0.07%,1919.30,
31/05/2021,1913.40,0,1904.85,1911.15,0.23%,1906.80,
30/05/2021,1907.90,0,1906.10,1906.75,-0.33%,1907.60,
28/05/2021,1909.20,0.18K,1896.00,1913.10,0.34%,1908.90,
27/05/2021,1909.60,0.02K,1897.70,1906.70,-0.23%,1907.00,
26/05/2021,1922.40,0.05K,1904.70,1911.10,0.18%,1917.50,
25/05/2021,1910.00,0.04K,1887.50,1907.70,0.72%,1887.50,
24/05/2021,1894.60,0.02K,1891.70,1894.00,0.42%,1891.70,
21/05/2021,1895.10,0.04K,1882.00,1886.00,-0.26%,1888.60,
20/05/2021,1889.70,0.01K,1877.40,1891.00,0.02%,1883.50,
19/05/2021,1898.00,0.12K,1861.80,1890.70,0.71%,1876.70,
18/05/2021,1879.70,0.03K,1878.60,1877.30,0.03%,1879.70,
17/05/2021,1876.10,0.64K,1854.50,1876.70,1.55%,1854.50,
14/05/2021,1849.20,0.09K,1834.50,1848.10,0.77%,1834.60,
13/05/2021,1835.30,0.01K,1818.00,1833.90,0.08%,1824.00,
12/05/2021,1842.70,0.01K,1822.00,1832.40,-0.72%,1842.40,
11/05/2021,1845.20,0.01K,1845.00,1845.70,-0.09%,1845.20,
10/05/2021,1849.10,0.09K,1843.90,1847.40,0.34%,1844.00,
07/05/2021,1851.00,0.16K,1828.50,1841.20,0.86%,1830.50,
06/05/2021,1824.30,0.17K,1823.40,1825.50,1.73%,1823.60,
05/05/2021,1789.10,0.16K,1789.10,1794.50,0.45%,1789.10,
04/05/2021,1806.70,0.16K,1784.20,1786.40,-0.82%,1790.80,
03/05/2021,1783.00,0.07K,1783.00,1801.20,1.36%,1783.00,
30/04/2021,1779.20,0.00K,1773.70,1777.10,-0.03%,1775.60,
29/04/2021,1780.00,0.01K,1770.10,1777.60,-0.33%,1770.10,
28/04/2021,1775.90,0.01K,1775.40,1783.50,-0.27%,1775.40,
